Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Date Added
"Pneumonia of unknown aetiology in Wuhan, China: potential for international spread via commercial air travel","Bogoch, II; Watts, A.; Thomas-Bachli, A.; Huber, C.; Kraemer, M. U. G.; Khan, K.","There is currently an outbreak of pneumonia of unknown aetiology in Wuhan, China. Although there are still several unanswered questions about this infection, we evaluate the potential for international dissemination of this disease via commercial air travel should the outbreak continue.",2020,,Journal of travel medicine,27,2,,31943059,10.1093/jtm/taaa008,13872,#12193,Bogoch 2020,,Epidemiology; Infection prevention and control,24-03-20
[Analysis of bronchoscope-guided tracheal intubation in 12 cases with COVID-19 under the personal protective equipment with positive pressure protective hood] [Recommendation for the diagnosis and treatment of novel coronavirus infection in children in Hubei (Trial version 1)],"Cai, S. J.; Wu, L. L.; Chen, D. F.; Li, Y. X.; Liu, Y. J.; Fan, Y. Q.; Du, S. H.; Huang, H.; Liu, N.; Cheng, L. L.; Deng, X. L.; Li, S. Y.","Endotracheal intubation is an independent risk factor for respiratory infectious diseases. We conducted a retrospective study in 12 cases with COVID-19 who underwent endotracheal intubation at ICU of the Guangzhou eighth hospital from January 20 to February 10, 2020. The intubation procedure, anesthetic regimen, and complication were collected and analyzed. The 9 healthcare workers who involved in intubation received virus nucleic acid test and 14 days temperature monitoring. All 12 patients were successfully intubated under the guidance of bronchoscope, without any complications. Midazolam, Propofol and Morphine or fentanyl were used for sedation and analgesia, avoiding patients cough and agitated during the procedure. The 9 healthcare workers were protected under the Personal Protective Equipment(PPE) with positive pressure protective hood. The detection of oropharyngeal swab virus nucleic acid were negative in all 9 healthcare workers, none of them had fever or any respiratory symptoms. The PPE with positive pressure protective hood should be needed to perform bronchoscope-guided endotracheal intubation in patients with COVID-19, it could strengthen to protect healthcare workers from virus exposure. Since December 2019, a cluster of patients have been diagnosed to be infected with 2019 novel coronavirus (2019-nCoV) in Wuhan, China. The epidemic has been spreading to other areas of the country and abroad. A few cases have progressed rapidly to acute respiratory distress syndrome and/or multiple organ function failure. The epidemiological survey has indicated that the general population is susceptible to 2019-nCoV. A total of 14 children (6 months to 14 years of age, including 5 cases in Wuhan) have been confirmed to be infected with 2019-nCoV in China so far. In order to further standardize and enhance the clinical management of 2019-nCoV infection in children, reduce the incidence, and decrease the number of severe cases, we have formulated this diagnosis and treatment recommendation according to the recent information at home and abroad.",2020,,Zhonghua jie he he hu xi za zhi = Zhonghua jiehe he huxi zazhi = Chinese journal of tuberculosis and respiratory diseases Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,43,0,E033,32133829,10.3760/cma.j.cn112147-20200222-00153,13298,#12215,Cai 2020,,"* Case study/series; Clinical aspects, diagnosis, treatment",24-03-20
[Recommendations on the clinical management of the COVID-19 infection by the «new coronavirus» SARS-CoV2. Spanish Paediatric Association working group] A tug-of-war between severe acute respiratory syndrome coronavirus 2 and host antiviral defence: lessons from other pathogenic viruses,"Calvo, C.; García López-Hortelano, M.; de Carlos Vicente, J. C.; Vázquez Martínez, J. L.; Fung, S. Y.; Yuen, K. S.; Ye, Z. W.; Chan, C. P.; Jin, D. Y.","On 31 December 2019, the Wuhan Municipal Committee of Health and Healthcare (Hubei Province, China) reported that there were 27 cases of pneumonia of unknown origin with symptoms starting on the 8 December. There were 7 serious cases with common exposure in market with shellfish, fish, and live animals, in the city of Wuhan. On 7 January 2020, the Chinese authorities identified that the agent causing the outbreak was a new type of virus of the Coronaviridae family, temporarily called «new coronavirus», 2019-nCoV. On January 30th, 2020, the World Health Organisation (WHO) declared the outbreak an International Emergency. On 11 February 2020 the WHO assigned it the name of SARS-CoV2 and COVID-19 (SARS-CoV2 and COVID-19). The Ministry of Health summoned the Specialties Societies to prepare a clinical protocol for the management of COVID-19. The Spanish Paediatric Association appointed a Working Group of the Societies of Paediatric Infectious Diseases and Paediatric Intensive Care to prepare the present recommendations with the evidence available at the time of preparing them. World Health Organization has declared the ongoing outbreak of coronavirus disease 2019 (COVID-19) a Public Health Emergency of International Concern. The virus was named severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by the International Committee on Taxonomy of Viruses. Human infection with SARS-CoV-2 leads to a wide range of clinical manifestations ranging from asymptomatic, mild, moderate to severe. The severe cases present with pneumonia, which can progress to acute respiratory distress syndrome. The outbreak provides an opportunity for real-time tracking of an animal coronavirus that has just crossed species barrier to infect humans. The outcome of SARS-CoV-2 infection is largely determined by virus-host interaction. Here, we review the discovery, zoonotic origin, animal hosts, transmissibility and pathogenicity of SARS-CoV-2 in relation to its interplay with host antiviral defense. A comparison with SARS-CoV, Middle East respiratory syndrome coronavirus, community-acquired human coronaviruses and other pathogenic viruses including human immunodeficiency viruses is made. We summarize current understanding of the induction of a proinflammatory cytokine storm by other highly pathogenic human coronaviruses, their adaptation to humans and their usurpation of the cell death programmes. Important questions concerning the interaction between SARS-CoV-2 and host antiviral defence, including asymptomatic and presymptomatic virus shedding, are also discussed.",2020,,"Anales de pediatria (Barcelona, Spain : 2003) Emerging microbes & infections",9,1,558-570,32172672,10.1016/j.anpedi.2020.02.001 10.1080/22221751.2020.1736644,13495,#12220,Calvo 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Virology, immunology",24-03-20
"Features, Evaluation and Treatment Coronavirus (COVID-19) Discussing the ABCs of Health Security-Antibiotic Resistance, Biothreats, and Coronavirus","Cascella, M.; Rajnik, M.; Cuomo, A.; Dulebohn, S. C.; Di Napoli, R.; Desai, A. N.","According to the World Health Organization (WHO), viral diseases continue to emerge and represent a serious issue to public health. In the last twenty years, several viral epidemics such as the severe acute respiratory syndrome coronavirus (SARS-CoV) in 2002 to 2003, and H1N1 influenza in 2009, have been recorded. Most recently, the Middle East respiratory syndrome coronavirus (MERS-CoV) was first identified in Saudi Arabia in 2012. In a timeline that reaches the present day, an epidemic of cases with unexplained low respiratory infections detected in Wuhan, the largest metropolitan area in China's Hubei province, was first reported to the WHO Country Office in China, on December 31, 2019. Published literature can trace the beginning of symptomatic individuals back to the beginning of December 2019. As they were unable to identify the causative agent, these first cases were classified as ""pneumonia of unknown etiology."" The Chinese Center for Disease Control and Prevention (CDC) and local CDCs organized an intensive outbreak investigation program. The etiology of this illness is now attributed to a novel virus belonging to the coronavirus (CoV) family, COVID-19. On February 11, 2020, the WHO Director-General, Dr. Tedros Adhanom Ghebreyesus, announced that the disease caused by this new CoV was a ""COVID-19,"" which is the acronym of ""coronavirus disease 2019"". In the past twenty years, two additional coronavirus epidemics have occurred. SARS-CoV provoked a large-scale epidemic beginning in China and involving two dozen countries with approximately 8000 cases and 800 deaths, and the MERS-CoV that began in Saudi Arabia and has approximately 2,500 cases and 800 deaths and still causes as sporadic cases. This new virus seems to be very contagious and has quickly spread globally. In a meeting on January 30, 2020, per the International Health Regulations (IHR, 2005), the outbreak was declared by the WHO a Public Health Emergency of International Concern (PHEIC) as it had spread to 18 countries with four countries reporting human-to-human transmission. An additional landmark occurred on February 26, 2020, as the first case of the disease, not imported from China, was recorded in the United States.  Initially, the new virus was called 2019-nCoV. Subsequently, the task of experts of the International Committee on Taxonomy of Viruses (ICTV) termed it the SARS-CoV-2 virus as it is very similar to the one that caused the SARS outbreak (SARS-CoVs). The CoVs have become the major pathogens of emerging respiratory disease outbreaks. They are a large family of single-stranded RNA viruses (+ssRNA) that can be isolated in different animal species. For reasons yet to be explained, these viruses can cross species barriers and can cause, in humans, illness ranging from the common cold to more severe diseases such as MERS and SARS. Interestingly, these latter viruses have probably originated from bats and then moving into other mammalian hosts — the Himalayan palm civet for SARS-CoV, and the dromedary camel for MERS-CoV — before jumping to humans. The dynamics of SARS-Cov-2 are currently unknown, but there is speculation that it also has an animal origin. The potential for these viruses to grow to become a pandemic worldwide seems to be a serious public health risk. Concerning COVID-19, the WHO raised the threat to the CoV epidemic to the ""very high"" level, on February 28, 2020. Probably, the effects of the epidemic caused by the new CoV has yet to emerge as the situation is quickly evolving. World governments are at work to establish countermeasures to stem possible devastating effects. Health organizations coordinate information flows and issues directives and guidelines to best mitigate the impact of the threat. At the same time, scientists around the world work tirelessly, and information about the transmission mechanisms, the clinical spectrum of disease, new diagnostics, and prevention and therapeutic strategies are rapidly developing. Many uncertainties remain with regard to both the virus-host interaction and the evolution of the epidemic, with specific reference to the times when the epidemic will reach its peak. At the moment, the therapeutic strategies to deal with the infection are only supportive, and prevention aimed at reducing transmission in the community is our best weapon. Aggressive isolation measures in China have led to a progressive reduction of cases in the last few days. In Italy, in geographic regions of the north of the peninsula, political and health authorities are making incredible efforts to contain a shock wave that is severely testing the health system.  In the midst of the crisis, the authors have chosen to use the ""Statpearls"" platform because, within the PubMed scenario, it represents a unique tool that may allow them to make updates in real-time. The aim, therefore, is to collect information and scientific evidence and to provide an overview of the topic that will be continuously updated.",2020,,StatPearls,,,,32150360,10.1001/jama.2019.21022,13347,#12230,Cascella 2020,,"* Narrative review; Clinical aspects, diagnosis, treatment; Epidemiology; Infection prevention and control; Reservoir; Virology, immunology",24-03-20
Web Exclusive. Annals On Call - Understanding the Spread of COVID-19,"Centor, R. M.; Fisman, D. N.",,2020,,Annals of internal medicine,,,Oc1,32170898,10.7326/a20-0001,13079,#12235,Centor 2020,,* Opinion piece; Epidemiology,24-03-20
Stepping Forward: Urologists' Efforts During the COVID-19 Outbreak in Singapore,"Chan, M. C.; Yeo, S. E. K.; Chong, Y. L.; Lee, Y. M.",,2020,,European urology,,,,32192627,10.1016/j.eururo.2020.03.004,13942,#12242,Chan 2020,,* Opinion piece; Infection prevention and control,24-03-20
[Diagnosis and treatment recommendation for pediatric coronavirus disease-19],"Chen, Z.; Fu, J.; Shu, Q.; Chen, Y.; Hua, C.; Li, F.; Lin, R.; Tang, L.; Wang, T.; Wang, W.; Wang, Y.; Xu, W.; Yang, Z.; Ye, S.; Yuan, T.; Zhang, C.; Zhang, Y.",,2020,,Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,49,1,01-Aug,32064795,,13190,#12276,Chen 2020,,"* Narrative review; * Opinion piece; Clinical aspects, diagnosis, treatment",24-03-20
Nursing and the Novel Coronavirus: Risks and Responsibilities in a Global Outbreak,"Choi, Kristen R.; Skrine Jeffers, Kia; Logsdon, M. Cynthia","Abstract In December of 2019, reports emerged of pneumonia clusters of unknown cause at health facilities in Wuhan, China. These cases were linked to a wet animal wholesale market in the region and, after extensive epidemiologic investigation, led to identification of a novel coronavirus (COVID-19). COVID-19 is among a family of viruses?called coronaviruses?that can affect both humans and animals (Zhu et al., 2020).",2020,,Journal of Advanced Nursing,n/a,n/a,,,10.1111/jan.14369,12534,#11645,Choi 2020,,* Narrative review; * Opinion piece; Infection prevention and control,24-03-20
Exploration on the emergency support mode of hospital medical supplies under the epidemic of NCP,"CHU, Yong-hua; ZOU, Qu-chao; XIE, Hui-ling; YING, Yue; ZHAO, Fen; JIN, Jin-jiang; HUANG, Tan-hai; SUN, Shu-ying; WANG, Yi-wen; LIU, Hong; WANG, Zhi-kang","Since the outbreak of Novel Coronavirus Pneumonia(NCP), hospitals have taken the fight against the virus as its own responsibility, and keep standing in the front line of epidemic prevention and control. The continuous input of anti-epidemic forces in hospitals also brings challenges to the medical supplies support, including the management of protective supplies and the maintenance of medical equipment. In the face of increasing security pressure, the medical materials support team broke the game on multiple fronts. Firstly, the team implements active material procurement strategy, sets material distribution priority according to risk level, releases materials uniformly based on stock and use, and implements traceability management of donated materials to ensure material supply. Secondly, centralized allocation management of equipment, emergency installation, advanced maintenance and emergency maintenance work is effectively completed. Thirdly, disinfection strategies for items and equipment are developed safely and effectively with the aid of disinfection equipment functions. At last, personnel management and training have been strengthened. These measures have provided strong support for the orderly prevention and control of the epidemic.",2020,,Chinese Journal of Hospital Administration,36,0,E012-E012,,,12692,#11646,CHU 2020,,"Ethics, social science, economics; Infection prevention and control",24-03-20
From the frontline of COVID-19 - How prepared are we as obstetricians: a commentary,"Chua, M.; Lee, J.; Sulaiman, S.; Tan, H. K.",,2020,,BJOG : an international journal of obstetrics and gynaecology,,,,32078048,10.1111/1471-0528.16192,13065,#12299,Chua 2020,,"* Opinion piece; Clinical aspects, diagnosis, treatment; Infection prevention and control",24-03-20
Induction of pro-inflammatory cytokines (IL-1 and IL-6) and lung inflammation by Coronavirus-19 (COVI-19 or SARS-CoV-2): anti-inflammatory strategies,"Conti, P.; Ronconi, G.; Caraffa, A.; Gallenga, C. E.; Ross, R.; Frydas, I.; Kritas, S. K.","Coronavirus-19 (COVI-19) involves humans as well as animals and may cause serious damage to the respiratory tract, including the lung: coronavirus disease (COVID-19). This pathogenic virus has been identified in swabs performed on the throat and nose of patients who suffer from or are suspected of the disease. When COVI-19 infect the upper and lower respiratory tract it can cause mild or highly acute respiratory syndrome with consequent release of pro-inflammatory cytokines, including interleukin (IL)-1β and IL-6. The binding of COVI-19 to the Toll Like Receptor (TLR) causes the release of pro-IL-1β which is cleaved by caspase-1, followed by inflammasome activation and production of active mature IL-1β which is a mediator of lung inflammation, fever and fibrosis. Suppression of pro-inflammatory IL-1 family members and IL-6 have been shown to have a therapeutic effect in many inflammatory diseases, including viral infections. Cytokine IL-37 has the ability to suppress innate and acquired immune response and also has the capacity to inhibit inflammation by acting on IL-18Rα receptor. IL-37 performs its immunosuppressive activity by acting on mTOR and increasing the adenosine monophosphate (AMP) kinase. This cytokine inhibits class II histocompatibility complex (MHC) molecules and inflammation in inflammatory diseases by suppressing MyD88 and subsequently IL-1β, IL-6, TNF and CCL2. The suppression of IL-1β by IL-37 in inflammatory state induced by coronavirus-19 can have a new therapeutic effect previously unknown. Another inhibitory cytokine is IL-38, the newest cytokine of the IL-1 family members, produced by several immune cells including B cells and macrophages. IL-38 is also a suppressor cytokine which inhibits IL-1β and other pro-inflammatory IL-family members. IL-38 is a potential therapeutic cytokine which inhibits inflammation in viral infections including that caused by coronavirus-19, providing a new relevant strategy.",2020,,Journal of biological regulators and homeostatic agents,34,2,,32171193,10.23812/conti-e.,14259,#12313,Conti 2020,,"Virology, immunology",24-03-20
Risk of COVID-19 importation to the Pacific islands through global air travel,"Craig, A. T.; Heywood, A. E.; Hall, J.",,,,Epidemiology and Infection,,,Jan-16,,10.1017/S0950268820000710,12563,#11921,,,* Epidemiological study; Epidemiology; Infection prevention and control,24-03-20
The international imperative to rapidly and inexpensively monitor community-wide Covid-19 infection status and trends,"Daughton, Christian","Given the continuing concerns surrounding the lack of adequate diagnostic testing for Covid-19 (caused by SARS-CoV-2), even less attention is being paid to what could become an even more urgent need - - the ability to quickly determine the status and trends of Covid-19 within and across communities nationwide. The existing Covid-19 clinical diagnostic tests will prove woefully inadequate for rapidly monitoring (at comparatively low cost) the incidence of Covid-19 community-wide. It is simply not feasible to do repeated individual testing at very large scales. Rapid community-wide monitoring could prove of immense international importance in quickly determining trends in whether the spread of Covid-19 (as well as future viral epidemics) in individual communities is increasing or decreasing. This ability is critical for better informing containment and mitigation strategies as well as for better-targeting followup diagnostic testing of individuals. This would prove even more important if SARS-CoV-2 reinfections and episodic outbreaks begin to widely occur. Fortunately, the relatively new field of sewage epidemiology (also called wastewater-based epidemiology: WBE) has been advancing steadily over the last 15 years (for example, see Choi et al, 2018; Daughton 2018), with research efforts largely concentrated in Europe. Originally geared toward determining the population-wide use of illicit drugs, this monitoring concept has since evolved to include a broad array of other types of substances in wastewater, including virus particles. So the time required for developing and implementing a wastewater monitoring approach specifically designed for SARS-CoV-2 (and Covid-19) might be greatly reduced. It is critical that governments worldwide be made aware of the important role that sewage epidemiology could play in controlling the spread of Covid-19. National agencies should encourage the development of sewage monitoring capabilities. This can be done partly by soliciting and funding grant proposals; one such example is a call for research proposals dealing with many aspects of coronavirus by the Swiss National Science Foundation (http://www.snf.ch/en/funding/programmes/coronavirus/Pages/default.aspx). Future calls for proposals focused solely on WBE might be more productive. One problem is the very uneven worldwide distribution of not just R&D on WBE, but also the uneven adoption of WBE for existing purposes such as community-wide illicit drug monitoring. Some countries, such as the U.S., have little experience with the implementation of WBE. For this reason, it will be important to encourage international research collaborations. This would be the best way to ensure adoption of WBE worldwide for monitoring pandemics. Development of a rapid and economical WBE tool for monitoring status and trends of Covid-19 mass infection will encounter a number of challenges, many of which are often shared by existing WBE methods for other targets of analysis (such as chemical micropollutants). Challenges include statistically representative sampling of sewage, Journal Pre-proof Journal Pre-proofwhich is heterogeneous. With respect to its occurrence in sewage, viable SARS-CoV-2 probably enters mainly via shedding in the stool. Non-viable virus (and associate viral debris such as RNA fragments, mRNA, or capsid subunits) could enter sewage via stool and urine. Virus particle loadings in sewage can be quantified by targeting virus functional or structural motifs. Since the half-life of viable SARS-CoV-2 in wastewater seems to be very short, any detection method should account for both viable and non-viable particles. Degradation products (such as RNA fragments) from the virus could also be selected as targets. Detection approaches could include RT-PCR (or allied approaches) and ELISA, coupled with the Most Probable Number (MPN) method for quantifying sewage loadings of combined viable and non-viable virus particles. For each individual sewage treatment plant (STP), the virus loading levels would then be directly used to establish status and time trends. The levels could also be normalized against the populations served by each STP plant in order to rank communities with respect to their community-wide infection rates. This would facilitate rapid identification of hot spots for better-informed intervention measures and prevention of emerging clusters.",2020,,Science of The Total Environment,,,138149-138149,,10.1016/j.scitotenv.2020.138149,12495,#11652,Daughton 2020,,* Narrative review; * Opinion piece; Epidemiology,24-03-20
Eco-Virological Preliminary Study of Potentially Emerging Pathogens in Hedgehogs (Erinaceus europaeus) Recovered at a Wildlife Treatment and Rehabilitation Center in Northern Italy,"Delogu, M.; Cotti, C.; Lelli, D.; Sozzi, E.; Trogu, T.; Lavazza, A.; Garuti, G.; Castrucci, M. R.; Vaccari, G.; De Marco, M. A.; Moreno, A.","The Western European Hedgehog (Erinaceus europaeus) is one of the four hedgehog species belonging to the genus Erinaceus. Among them, E. amurensis is extant in East Asia's areas only, whereas E. europaeus, E. roumanicus and E. concolor are mainly found in Europe. E. europaeus is endemically distributed from western to central and southern Europe, including Italy. Western European hedgehogs' ecological and feeding habits, along with their high population densities, notable synanthropic attitudes, frequent contacts with sympatric wild and domestic species, including humans, implicate the possible involvement of E. europaeus in the ecology of potentially emerging viruses, such as coronaviruses, influenza A and influenza D viruses, canine distemper virus, pestiviruses and Aujeszky's disease virus. We examined 24 E. europaeus individuals found injured in urban and rural areas of Northern Italy. Of the 24 fecal samples collected and tested for the above-mentioned pathogens by both PCR-based and virus isolation methods, 14 were found PCR-positive for betacoronaviruses belonging to lineage C and related to the known Erinaceus coronaviruses (EriCoVs), as determined by partial sequencing of the virus genome. Our findings suggest that hedgehogs could be considered natural reservoirs of CoVs, and also act as chronic shedding carriers of these potentially emerging RNA viruses.",2020,,Animals : an open access journal from MDPI,10,3,,32121543,10.3390/ani10030407,14041,#12341,Delogu 2020,,Other related diseases and viruses; Reservoir,24-03-20
